"店名","評価点数","口コミ件数","保存件数","ジャンル","最寄駅","予算(夜)","予算(昼)","店舗URL","住所","郵便番号","緯度","経度","電話番号","営業時間","定休日","席数","個室","禁煙喫煙","予約","受賞・百名店","駐車場","交通手段","写真URL","区分"
"ピッツェリア・ロマーナ・イル・ペンティート","4.03","390","82765","ピザ/イタリアン","南新宿駅","\10,000～\14,999","-","https://tabelog.com/tokyo/A1318/A131810/13000684/","東京都渋谷区代々木3-1-1 ＡＸＩＳ　１Ｆ","1510053","35.68226193467567","139.69667755166375","03-3320-5699","火・水・木・金・土 19:00 - 23:00 L.O. 21:00 月・日","不定休","24席","無","全席禁煙 テラスに喫煙スペースあり","予約可","ピザ 百名店 2025","無","スマホやiPhoneのナビで来られる方、住所の入力は代々木3-1-1でお願いします。住居表示の代々木3-1-3だと店の裏手に出てしまい、迷ってしまいます。 代々木駅西口の改札を背にして正面のファミリーマートと、みずほ銀行の間の道をまっすぐ来てください。どこも曲がりません。5-6分歩いて小田急線のガードをくぐると道沿いにあります。 （Google Mapでは、渋谷区代々木3-1-8で検索すると正しい店の位置を示します。MapFan、Yahoo!地図、NAVITIMEなどでは渋谷区代々木3-1-7で1軒代々木駅寄りの(お店があるAXISビルの)隣のビルの位置を示します。） 南新宿駅から231m","https://tblg.k-img.com/restaurant/images/Rvw/367173/640x640_rect_2ee6c33f1faa3d9915a42dcfbdd7c106.jpg","初台SC"
"sincere","4.02","646","61948","フレンチ","北参道駅","\20,000～\29,999","-","https://tabelog.com/tokyo/A1309/A130901/13194253/","東京都渋谷区千駄ヶ谷3-7-13 原宿東急アパートメントＢ１","1510051","35.67690005869898","139.7043157743842","03-6804-2006","月・火・水・木・金・土 18:00 - 20:30 日","","18席 （テーブル席）","無 １８：００~２２：３０","全席禁煙","完全予約制","Tabelog Award 2026 Bronze / フレンチ 百名店 2025","無","JR原宿駅竹下口より徒歩8分 出口を左手に歩道歩いていただきます。 5分ほど直進していただきまして、左手にベルエポック美容専門学校 を通りすぎ、つきあたりの交差点を右、左とクランクのように通り抜けて、さらに 北に向かって直進していただきます。 小道を直進し170mほどで、左手地下1階に当店がございます。 (入り口に蔦がある建物です。) 副都心線北参道駅3番出口より徒歩3分 地上右手に進み、サブウェイ様が曲がり角にある最初の交差点を右折して、 道を直進してつきあたりまでお進みください。 つきあたりを左折して120mほど進み 右側地下1階に当店がございます。(入り口に蔦がある建物です。) 北参道駅から198m","https://tblg.k-img.com/restaurant/images/Rvw/76918/320x320_rect_76918497.jpg","初台SC"
"SPICY CURRY 魯珈","3.96","848","55762","カレー/台湾料理","大久保駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130404/13286023/","東京都新宿区百人町1-24-8 新宿タウンプラザビル BF-J","1690073","35.69869983868304","139.69773308460904","03-3367-7111","月・水 11:00 - 15:00 火・木 11:00 - 14:00 17:00 - 19:30 金・土・日・祝日","","6席 （カウンター6席）","無","全席禁煙","完全予約制","Tabelog Award 2026 Bronze / カレー 百名店 2026","無","JR中央・総武線各駅(停車)「大久保駅」南口から徒歩1分 西武新宿線「西武新宿駅」北口から徒歩4分 JR山手線「新大久保駅」東口から徒歩5分 大久保駅から201m","https://tblg.k-img.com/restaurant/images/Rvw/335228/640x640_rect_e5385affd151ba47bdff6b0b3cf4bb18.jpg","初台SC"
"とんかつ七井戸","3.94","851","58101","とんかつ","外苑前駅","-","\2,000～\2,999","https://tabelog.com/tokyo/A1306/A130603/13229075/","東京都渋谷区神宮前3-42-11 ローザビアンカ 104","1500001","35.67183293789986","139.7138147831646","080-8190-1331","月・火・水・木・金・祝日・祝前日・祝後日 11:30 - 14:30 L.O. 14:00 土・日","","24席 （カウンター席のみです。）","無","全席禁煙","予約不可","とんかつ 百名店 2026","無","最寄駅 東京メトロ外苑前駅徒歩5分 東京メトロ表参道駅徒歩10分 東京メトロ明治神宮前駅徒歩10分 JR原宿駅徒歩15分 外苑前駅から395m","https://tblg.k-img.com/restaurant/images/Rvw/189647/640x640_rect_843ba80f826bf3fd292cf3db19500fd7.jpg","初台SC"
"はらまさ","3.94","765","39088","日本料理","四谷三丁目駅","\20,000～\29,999","\10,000～\14,999","https://tabelog.com/tokyo/A1309/A130903/13151542/","東京都新宿区四谷4-8 ライオンズ四谷タワーゲート店舗棟 B1F","1600004","35.68793941869587","139.7165467244872","03-5312-7307","月・火・水・木・金・土・日・祝日・祝前日・祝後日 12:30 - 14:30 L.O. 料理13:00 ドリンク14:15 17:30 - 23:00 L.O. 料理21:30 ドリンク22:45","不定休","22席","有 （2人可、4人可、6人可）","全席禁煙","予約可","Tabelog Award 2026 Bronze / 日本料理 百名店 2025","無","四谷三丁目2番出口歩いて6分 四ッ谷駅方面行き四谷四丁目バス停正面のビルの地下 油そば屋の左脇に階段があります 四谷三丁目駅から369m","https://tblg.k-img.com/restaurant/images/Rvw/122348/640x640_rect_122348811.jpg","初台SC"
"KINO_","3.94","457","20811","イノベーティブ/フレンチ","代々木駅","\15,000～\19,999","\8,000～\9,999","https://tabelog.com/tokyo/A1304/A130403/13285210/","東京都渋谷区代々木1-37-4 長谷川ビル 1F","1510053","35.68361223788823","139.70077598329274","03-6826-9608","月・火・水・木・金・土・日・祝日・祝前日・祝後日 12:00 - 14:30 18:00 - 22:00","","18席 （カウンター8席、テーブル10席）","無","全席禁煙","完全予約制","創作料理・イノベーティブ 百名店 2025","無 近隣にコインパーキング数カ所あり。","JR中央、総武線、山手線、都営大江戸線 代々木駅より徒歩3分 小田急線 南新宿駅より徒歩7分 新宿駅新南改札より徒歩9分 代々木駅から125m","https://tblg.k-img.com/restaurant/images/Rvw/207027/640x640_rect_77def5c175d4901c7f73d8ec968040b4.jpg","初台SC"
"鯉登り","3.94","112","15431","ホルモン/焼肉","大久保駅","\15,000～\19,999","-","https://tabelog.com/tokyo/A1304/A130404/13024080/","東京都新宿区百人町2-26-7","1690073","35.70381875867892","139.69498829466266","03-3367-5188","月・火・水・木・金・土 19:00 - 23:00 L.O. 22:00 日","祝日","10席","無","全席禁煙","予約可","焼肉 百名店 2025","無","JR中央・総武緩行線「大久保駅」北口より、徒歩4分 JR山手線「新大久保駅」駅より、徒歩7分 大久保駅から433m","https://tblg.k-img.com/restaurant/images/Rvw/316827/640x640_rect_8da54af556b45edc2af0c7c7917c2bac.jpg","初台SC"
"特選髙坂鶏 克つ鳥","3.94","95","6427","焼き鳥/鳥料理/串焼き","神泉駅","\20,000～\29,999","-","https://tabelog.com/tokyo/A1303/A130301/13310446/","東京都渋谷区道玄坂2-26-15 Shibuya D-second 1F","1500043","35.66004449387673","139.6965100993664","03-5990-4877","火・水・木・金・土 17:00 - 22:30 月・日","","16席","有 （2人可、4人可）","全席禁煙","完全予約制","","無","渋谷駅より徒歩6分。 渋谷駅を出て「MEGAドン・キホーテ 渋谷本店」に向かって進むと、右手に「H&M」が見えてきます。 そのまま道玄坂2丁目交差点のY字路を左方向（道玄坂を登る方）に進み、「スターバックス」を通り過ぎた先にある「チャッチャッ亭」の角を左折してください。 坂を少し上がった左手のビル1階に【克つ鳥】がございます。 神泉駅から404m","https://tblg.k-img.com/restaurant/images/Rvw/307100/640x640_rect_2f2a42baa31adaa46af1b9275ad3c92c.jpg","初台SC"
"東京肉しゃぶ家","3.89","615","58723","しゃぶしゃぶ/すき焼き/牛料理","東新宿駅","\20,000～\29,999","\15,000～\19,999","https://tabelog.com/tokyo/A1304/A130401/13196268/","東京都新宿区大久保1-12-3 カーサ第二新宿 1F","1690072","35.69839023787967","139.70336128344016","03-6273-8987","火・水・木・金・土・日・祝日・祝前日・祝後日 17:00 - 22:30 月","","12席","無 Ginza store has two private rooms. For 2～8 peoples 新宿店 なし 銀座店 2～4名様 個室 2部屋、カウンター個室8名","全席禁煙 銀座店は喫煙所完備。個室は電子タバコも御利用可能です","予約可","Tabelog Award 2026 Bronze / すき焼き・しゃぶしゃぶ 百名店 2024","無 近くに時間貸しパーキング多数ございます。隣にドンキホーテ、正面に30台ございます。","JR新宿東口から徒歩10分 JR新大久保駅から徒歩8分 大江戸線東新宿から徒歩3分 西武新宿線西武新宿北口徒歩4分 東新宿駅から375m","https://tblg.k-img.com/restaurant/images/Rvw/166582/640x640_rect_18e32ed5fc4a17a7b76677a32b5ab518.jpg","初台SC"
"Il Lato","3.88","338","35553","イタリアン","新宿三丁目駅","\15,000～\19,999","\10,000～\14,999","https://tabelog.com/tokyo/A1304/A130401/13256289/","東京都新宿区新宿3-6-2 栄ビル 4F","1600022","35.691047437885054","139.70564578336445","03-6709-9987","月・火・木・金・土・祝前日・祝後日 18:00 - 23:00 日・祝日 12:00 - 15:00 18:00 - 22:00 水","","17席 （カウンター7席、テーブル席10）","無","全席禁煙","予約可","イタリアン 百名店 2025","無","東京メトロ丸ノ内線 東京メトロ副都心線 都営新宿線 新宿三丁目駅 徒歩１分 JR新宿駅 徒歩3分 新宿三丁目駅から71m","https://tblg.k-img.com/restaurant/images/Rvw/172558/640x640_rect_c2043c805a94cc46bfdeaddee0189042.jpg","初台SC"
"Katsuプリポー","3.87","1355","71406","とんかつ/かつ丼","西武新宿駅","\8,000～\9,999","\4,000～\4,999","https://tabelog.com/tokyo/A1304/A130401/13264309/","東京都新宿区歌舞伎町1-10-3 G3ビル 2F","1600021","35.69475793788186","139.70301258340376","03-3209-2930","月・火・水・木・金・土・日・祝日・祝前日・祝後日 12:00 - 15:00 L.O. 14:00 17:00 - 23:00 L.O. 料理21:30 ドリンク22:00","","50席 （原宿店開幕。 品牌炸豬排、?鍋、五花肉。）","有 （2人可、4人可、6人可、8人可） 半個室あります","全席禁煙","予約可","とんかつ 百名店 2026","無 近隣多数","JR新宿駅東口から徒歩3分 東京メトロ新宿駅から徒歩3分 西武新宿駅から306m","https://tblg.k-img.com/restaurant/images/Rvw/241802/640x640_rect_f257953c2c96bbdbbb5a2dc1d12d6cdf.jpg","初台SC"
"l'elan","3.87","72","15554","フレンチ","明治神宮前駅","\20,000～\29,999","-","https://tabelog.com/tokyo/A1306/A130601/13243117/","東京都渋谷区神宮前5-10-1 GYRE 4F","1500001","35.66746223790044","139.70686258312534","03-6803-8670","火・水・木・金・土・祝日・祝前日 18:00 - 20:30 月・日・祝後日","月曜日","28席 （ダイニング22席、個室1室（最大6席））","有 （4人可、6人可）","全席禁煙 フロア内喫煙スペース有り","予約可","フレンチ 百名店 2025","無 ビル地下にGYREパーキングあり","表参道駅A1出口より徒歩4分 明治神宮前＜原宿＞駅4番出口より徒歩3分 明治神宮前駅から201m","https://tblg.k-img.com/restaurant/images/Rvw/143664/640x640_rect_143664558.jpg","初台SC"
"sio2","3.86","928","102194","イノベーティブ/ビストロ","代々木上原駅","\8,000～\9,999","-","https://tabelog.com/tokyo/A1318/A131811/13150395/","東京都渋谷区上原1-35-3","1510064","35.669590437891195","139.68214318316416","03-6804-7607","月・火・木・金・土・日・祝日・祝前日・祝後日 18:00 - 03:00 水","","14席","無","全席禁煙 入り口外に灰皿を設けております","予約可","Tabelog Award 2025 Bronze / 創作料理・イノベーティブ 百名店 2025 / フレンチ 百名店 2021","無","代々木上原駅改札を直進して、東口を出て右折し30mほど坂を登った右側。 渋谷上原郵便局の向かい。 串カツ田中となり。 代々木上原駅から229m","https://tblg.k-img.com/restaurant/images/Rvw/280869/640x640_rect_b5642d3d343a4c463698519462a7515c.jpg","初台SC"
"小熊飯店","3.86","88","11975","中華料理","北参道駅","\100,000～","-","https://tabelog.com/tokyo/A1309/A130901/13142019/","東京都渋谷区千駄ヶ谷3-14-10 Chez Castor B1F","1510051","35.67691073682994","139.706652247423","","18:00 - 22:00","不定休","8席 （カウンター4席、テーブル4席）","有","全席禁煙","完全予約制","中国料理 百名店 2026","無","北参道駅から188m","https://tblg.k-img.com/restaurant/images/Rvw/95363/640x640_rect_95363489.jpg","初台SC"
"玉笑","3.85","1909","194357","そば","明治神宮前駅","\10,000～\14,999","\2,000～\2,999","https://tabelog.com/tokyo/A1306/A130601/13129390/","東京都渋谷区神宮前5-23-3","1500001","35.664448898707015","139.7046843042582","03-5485-0025","水・木・金 11:30 - 15:00 L.O. 14:30 18:30 - 21:30 L.O. 20:30 土 11:30 - 15:00 18:00 - 20:00 月・火・日","","14席","無","全席禁煙","予約可","Tabelog Award 2026 Bronze / そば 百名店 2025","無","東京メトロ「明治神宮前」より7分 JR「原宿」「渋谷」より10分 穏田神社斜め向かい。 明治神宮前駅から462m","https://tblg.k-img.com/restaurant/images/Rvw/124351/640x640_rect_124351132.jpg","初台SC"
"アステリスク","3.85","1799","81921","ケーキ","代々木上原駅","～\999","～\999","https://tabelog.com/tokyo/A1318/A131811/13140735/","東京都渋谷区上原1-26-16 タマテクノビル 1F","1510064","35.668281148697154","139.68138120431325","03-6416-8080","水・木・金・土・日 10:00 - 18:00 月・火","","","無","全席禁煙","予約可","スイーツ 百名店 2023","無 近隣にコインパーキングあり","小田急線・東京メトロ代々木上原駅より徒歩2分 渋谷駅西口から京王バス笹塚循環 200円 渋谷駅西口マークシティ前よりハチ公バス上原・富ヶ谷ルート 100円 上原二丁目バス停下車すぐ 代々木上原駅から172m","https://tblg.k-img.com/restaurant/images/Rvw/226459/640x640_rect_0b056b819c45853bad1b1e5ae12bc918.jpg","初台SC"
"ミニマル 富ヶ谷本店","3.85","833","49572","チョコレート/ケーキ/カフェ","代々木八幡駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1303/A130301/13175834/","東京都渋谷区富ヶ谷2-1-9","1510063","35.66680503789472","139.68764498313217","03-6322-9998","11:30 - 19:00 L.O. 18:30","なし","12席 （カウンター7席、テラス席5席）","無","全席禁煙","予約不可","スイーツ 百名店 2023","有 近隣にコインパーキングあり","代々木公園駅・代々木八幡駅から徒歩４分。 代々木八幡駅から372m","https://tblg.k-img.com/restaurant/images/Rvw/165266/640x640_rect_6b23ba76ede15a32906e2724a06e7fdf.jpg","初台SC"
"BLOCK HOUSE 水曜カレー","3.85","536","22710","カレー/インドカレー","明治神宮前駅","\3,000～\3,999","\2,000～\2,999","https://tabelog.com/tokyo/A1306/A130601/13183182/","東京都渋谷区神宮前6-12-9 BLOCK HOUSE 3F","1500001","35.66617203790045","139.70440918311402","","水 12:15 - 15:00 L.O. 14:30 17:30 - 19:30 L.O. 19:00 月・火・木・金・土・日","","17席 （カウンター5席／テーブル12席）","無","全席禁煙","予約可","カレー 百名店 2026","無","明治神宮前駅_徒歩5分 原宿駅_徒歩10分 渋谷駅_徒歩15分 _ 明治神宮前駅から277m","https://tblg.k-img.com/restaurant/images/Rvw/274857/640x640_rect_10920a1dd32d8feef8fae83087f3bc01.jpg","初台SC"
"創作麺 ひとすじ","3.84","742","28424","ラーメン","方南町駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1319/A131903/13305924/","東京都杉並区方南2-18-6","1680062","35.68393306868017","139.65923618448684","03-5929-9303","水・木・金・土・日 11:00 - 15:30 月・火","","6席 （カウンターのみ6席）","無","全席禁煙","予約不可","ラーメン 百名店 2025","無","東京メトロ丸の内線方南町駅東口から徒歩2、3分。 方南町駅から151m","https://tblg.k-img.com/restaurant/images/Rvw/321063/640x640_rect_23b42a3270b3d998f6ce337afc574ee1.jpg","初台SC"
"An Di","3.84","688","60917","ベトナム料理/アジア・エスニック/ワインバー","外苑前駅","\10,000～\14,999","\8,000～\9,999","https://tabelog.com/tokyo/A1306/A130603/13209346/","東京都渋谷区神宮前3-42-12 1F","1500001","35.671919837899836","139.71390768316544","03-6447-5447","火・水・木・金 18:00 - 21:00 土・日 12:00 - 13:30 18:00 - 21:00 月","","23席 （カウンター5席、テーブル18席）","無","全席禁煙","予約可","アジア・エスニック 百名店 2026","無 近隣にコインパーキングあり","東京メトロ 銀座線 外苑前駅3番出口より徒歩約4分 外苑前駅から392m","https://tblg.k-img.com/restaurant/images/Rvw/237892/640x640_rect_51e0d94bf696f273a30a3fec6b600f78.jpg","初台SC"
"Spice Bar モンカリー","3.84","377","10678","カレー/インド料理/ダイニングバー","大久保駅","-","\1,000～\1,999","https://tabelog.com/tokyo/A1304/A130404/13277319/","東京都新宿区北新宿1-3-15 野原ビル 1F","1690074","35.69822003787747","139.69611208344352","","月・火・木・金・土 11:00 - 15:00 L.O. 14:30 祝日 11:00 - 15:00 L.O. 料理14:30 水・日","","16席 （カウンター６席、テーブル10席（2人掛け×2、半個室６人掛け×1））","無","全席禁煙","予約不可","カレー 百名店 2026","無 近隣にコインパーキングあり","JR総武線 大久保駅南口より徒歩5分 大久保駅から283m","https://tblg.k-img.com/restaurant/images/Rvw/211986/640x640_rect_feab8b13c3bd8c8185d5b71d290ff3ba.jpg","初台SC"
"シャントレル","3.84","213","24104","フレンチ","代々木八幡駅","\20,000～\29,999","\10,000～\14,999","https://tabelog.com/tokyo/A1318/A131810/13128296/","東京都渋谷区元代々木町24-1 アブニ―ル元代々木 1F","1510062","35.67076483789162","139.68579238317346","03-5465-0919","火・水・木・金 18:00 - 23:00 土・日 12:00 - 15:30 18:00 - 23:00 月","","14席","無","全席禁煙","完全予約制","Tabelog Award 2020 Bronze / フレンチ 百名店 2025","無","小田急小田原線 代々木八幡駅 徒歩5分 東京メトロ千代田線 代々木公園駅 徒歩6分 東京メトロ千代田線/小田急小田原線 代々木上原駅 徒歩8分 代々木八幡駅から335m","https://tblg.k-img.com/restaurant/images/Rvw/120575/640x640_rect_120575078.jpg","初台SC"
"VIRON 渋谷店","3.83","3927","124273","パン/サンドイッチ/ケーキ","渋谷駅","～\999","～\999","https://tabelog.com/tokyo/A1303/A130301/13004626/","東京都渋谷区宇田川町33-8 塚田ビル 1F","1500042","35.660885608706764","139.69678531422772","03-5458-1770","08:00 - 21:00 営業時間・","","（テイクアウトのみ）","無","全席禁煙","予約不可","パン 百名店 2022","無","JR渋谷駅から徒歩８分。東急本店向かい。 渋谷駅から465m","https://tblg.k-img.com/restaurant/images/Rvw/294087/640x640_rect_3fc259e18e9cd0fe03e7cc37a22e4f4b.jpg","初台SC"
"Curry Spice Gelateria KALPASI","3.83","1983","62823","カレー/ジェラート・アイスクリーム/アジア・エスニック","下北沢駅","\1,000～\1,999","\1,000～\1,999","https://tabelog.com/tokyo/A1318/A131802/13247887/","東京都世田谷区北沢2-12-2 サウスウェーブ下北沢 1F","1550031","35.66091663789224","139.6681005830864","","月・火・水・金・土・日 11:30 - 21:00 L.O. 20:00 木","","12席 （カウンター12席）","無","全席禁煙","予約不可","カレー 百名店 2026","無","井の頭線・小田急線 下北沢駅より徒歩2分 下北沢駅から105m","https://tblg.k-img.com/restaurant/images/Rvw/145610/640x640_rect_145610447.jpg","初台SC"
